SAO,HIP,Name
2937,85822,Yildun
7593,61281,5kapDra
8220,75097,Pherkad
8328,77055,16zetUMi
9084,89908,43phiDra
9665,99255,1kapCep
16273,68756,Thuban
17107,80650,15Dra
17365,83895,22zetDra
15384,54061,Dubhe
5006,4427,gamCam
4560,4151,50Cas
4554,4118,48Cas
12298,11060,iotCas
12704,11545,SAO_12704
4840,4326,SAO_4840
6156,35690,SAO
6378,39117,SAO
6487,40793,SAO
6504,40889,SAO
6897,46977,24UMa
7164,51808,SAO
7540,60044,SAO
7953,68956,3UMi
8527,80480,SAO
9256,92040,SAO
9959,104105,SAO
10057,106032,Alfirk
11256,2599,15kapCas
11336,3299,SAO
11380,3641,SAO
11502,4572,SAO
11612,5518,31Cas
11751,6692,36psiCas
12031,8886,Navi
12038,9009,46omeCas
12180,10438,55Cas
12361,12239,SAO
12916,17884,SAO
12969,18505,SAO
13015,19177,SAO
13081,20037,SAO
13098,20266,SAO
13291,22626,SAO
13298,22783,9alpCam
13635,27795,SAO
13715,28951,SAO
13756,29490,36Cam
13788,29997,SAO
14211,36528,SAO
14321,37949,51Cam
14407,39340,SAO
14456,40215,SAO
14500,40772,SAO
14568,41676,SAO
14582,41927,SAO
14616,42527,4pi2UMa
14667,43266,SAO
14742,44390,8rhoUMa
14796,45075,14tauUMa
14908,46733,23UMa
14949,47401,SAO
15147,50685,SAO
15163,50933,SAO
15261,52353,38UMa
15431,54721,SAO
15486,55564,SAO
15532,56211,Giauzar
15580,56816,SAO
15606,57111,3Dra
15801,60589,SAO
16033,64774,SAO
16124,66422,SAO
16305,69373,SAO
18299,95081,58piDra
18897,101093,2theCep
19302,105199,Alderamin
20075,110817,26Cep
20439,114212,SAO
20554,115088,34omiCep
20853,117371,SAO